step,tumor_cells,cytotoxic_t_cells,cd8_naive,cd4_naive,th1,th2,treg,dendritic,pdc,m1,m2,nk,mast,neutrophil,adipocyte,blood,sex_hormone,apoptosis_count,m1_kills,dc_kills,pdc_kills,ctc_kills,nkl_kills,neutrophil_kills,mean_glucose,total_glucose,min_glucose,max_glucose,glucose_presence_confirmed,glucose_coverage_percent,glucose_detection_confidence,glucose_gradient_mean_magnitude,glucose_gradient_max_magnitude,glucose_gradient_uniformity,glucose_hotspots_count,glucose_hotspots_coverage
0,11,4,4,4,2,2,4,4,2,2,4,8,2,2,0,552,0,0,0,0,0,0,0,0,1.0,97336.0,1.0,1.0,True,100.0,1.0,0.0,0.0,1.0,97336,100.0
1,11,4,4,4,2,2,4,4,2,2,4,8,2,2,0,552,2,0,0,0,0,0,0,0,1.0177955740938607,99068.15000000002,0.0,5.9399999999999995,True,99.98869893975507,0.9998869893975507,0.02041784160901374,2.8001428534987283,0.8311005118879806,97293,99.95582312813347
2,11,4,4,4,2,2,4,4,2,2,4,8,2,2,0,552,3,0,0,0,0,0,0,0,1.03548680981343,100790.14412000001,0.0,10.73259,True,99.98869893975507,0.9998869893975507,0.03844497880080625,5.104690421999164,0.7294932276380419,97069,99.72569244678228
3,11,4,4,4,2,2,4,4,2,3,3,8,2,2,0,552,5,0,0,0,0,0,0,0,1.0530068988253063,102495.47950406001,0.0,15.33170925,True,99.98869893975507,0.9998869893975507,0.05486516792089127,7.025558441622853,0.6595793385793128,96451,99.09077833484015
4,11,4,4,4,2,2,4,4,2,1,4,8,2,2,0,552,7,0,0,0,0,0,0,0,1.0703658537967318,104185.13074515868,0.0,19.72441777383,True,99.98664420152873,0.9998664420152873,0.07000190802775716,8.683076665782584,0.6077397059407931,95219,97.82505958740857
5,11,5,4,4,2,2,4,4,2,1,4,8,2,2,0,552,9,0,0,0,0,0,0,0,1.0875537974272829,105858.13642638201,0.0,23.915715260158258,True,99.98767157064191,0.9998767157064191,0.08412074409351591,10.143115193761622,0.5673616843122296,93184,95.73436344209748
6,11,5,4,4,2,2,4,4,2,2,3,8,2,2,0,552,11,0,0,0,0,0,0,0,1.10456755485656,107514.18751951813,0.0,27.918774926803334,True,99.9712336648311,0.999712336648311,0.09739618928457683,11.448758065142366,0.5348009665808271,90188,92.65636557902523
7,11,5,4,4,2,2,4,4,2,1,4,8,2,2,0,552,12,0,0,0,0,0,0,0,1.1214176025067963,109154.30375760153,0.0,31.749462834228687,True,99.9712336648311,0.999712336648311,0.10992628658247774,12.657927023198239,0.507845136260922,86186,88.54483438809896
8,11,5,4,4,2,2,4,4,2,1,4,8,2,2,0,552,14,0,0,0,0,0,0,0,1.138100733320859,110778.17297851913,0.0,35.42357632101625,True,99.97328840305745,0.9997328840305745,0.12182595253822792,13.806605407658038,0.4850576754695596,81148,83.3689487959234
9,11,5,4,4,2,2,3,4,2,1,4,8,2,2,0,552,17,0,0,0,0,0,0,0,1.1546203006026041,112386.12157945508,0.0,38.95562378837006,True,99.97226103394428,0.9997226103394428,0.1331765032293286,14.866060036479906,0.465461592602568,75226,77.28486890770115
