step,tumor_cells,cytotoxic_t_cells,cd8_naive,cd4_naive,th1,th2,treg,dendritic,pdc,m1,m2,nk,mast,neutrophil,adipocyte,blood,sex_hormone,apoptosis_count,m1_kills,dc_kills,pdc_kills,ctc_kills,nkl_kills,neutrophil_kills,mean_glucose,total_glucose,min_glucose,max_glucose,glucose_presence_confirmed,glucose_coverage_percent,glucose_detection_confidence,glucose_gradient_mean_magnitude,glucose_gradient_max_magnitude,glucose_gradient_uniformity,glucose_hotspots_count,glucose_hotspots_coverage
0,11,4,4,4,2,2,4,4,2,2,4,8,2,2,0,552,0,0,0,0,0,0,0,0,1.0,97336.0,1.0,1.0,True,100.0,1.0,0.0,0.0,1.0,97336,100.0
1,11,4,4,4,2,2,4,4,2,2,4,8,1,2,0,552,1,0,0,0,0,0,0,0,1.0178007109394265,99068.65000000001,0.0,5.9399999999999995,True,99.98869893975507,0.9998869893975507,0.02040411699460577,2.8001428534987283,0.8311104286907074,97294,99.95685049724665
2,11,5,4,4,2,2,4,4,2,1,5,8,1,2,0,552,2,0,0,0,0,0,0,0,1.0354970321361059,100791.13912,0.0,10.73259,True,99.98869893975507,0.9998869893975507,0.03841351680040146,5.087159529093815,0.729497425329059,97076,99.73288403057451
3,11,5,4,4,2,2,4,4,2,1,5,8,1,2,0,552,3,0,0,0,0,0,0,0,1.0530170189247554,102496.46455406,0.0,15.33170925,True,99.98869893975507,0.9998869893975507,0.05483141661657665,7.195787890953452,0.6595672488661698,96476,99.11646256266951
4,11,5,4,4,2,2,3,4,2,4,3,8,1,2,0,552,4,0,0,0,0,0,0,0,1.0703659119791153,104185.13640839918,0.0,19.72441777383,True,99.98561683241554,0.9998561683241555,0.06999001105189268,8.755809399419466,0.6077320618965658,95297,97.90519437823622
5,11,5,4,4,2,2,3,4,2,3,4,8,1,2,0,552,5,0,0,0,0,0,0,0,1.087539283315819,105856.72368082857,0.0,23.915715260158258,True,99.98664420152873,0.9998664420152873,0.08412739073355852,10.185134599309725,0.5673522148040436,93354,95.90901619133723
6,11,5,3,3,2,2,3,4,2,3,4,8,1,2,0,552,6,0,0,0,0,0,0,0,1.104549082847948,107512.38952808788,0.0,27.918774926803334,True,99.9712336648311,0.999712336648311,0.09739166985905344,11.511056662805531,0.5347887858752018,90485,92.9614942056382
7,11,5,3,3,2,2,3,4,2,3,4,8,1,2,0,552,7,0,0,0,0,0,0,0,1.1214001967409304,109152.6095499752,0.0,31.749462834228687,True,99.9712336648311,0.999712336648311,0.109905312200882,12.678733772094535,0.5078336373447654,86578,88.94756308046355
8,10,5,3,3,2,2,3,4,1,4,3,8,1,2,0,552,8,0,0,1,0,0,0,0,1.1380926822646054,110777.38932090762,0.0,35.42357632101625,True,99.97226103394428,0.9997226103394428,0.12177696289244902,13.821003588403295,0.4850469793543581,81734,83.97098709624395
9,10,5,3,3,2,2,3,4,1,4,3,8,1,2,0,552,9,0,0,1,0,0,0,0,1.1546213603240585,112386.22472850257,0.0,38.95562378837006,True,99.9712336648311,0.999712336648311,0.1331198526383557,14.878515911351133,0.4654561018443066,76052,78.1334757951837
10,10,6,3,3,2,2,3,4,1,4,3,7,1,2,0,552,11,0,0,1,0,0,0,0,1.1709906339369744,113979.54434488933,0.0,42.358411983660474,True,99.97431577217063,0.9997431577217063,0.1439697350123659,15.85933690803594,0.44837304953761153,69619,71.52441029012904
11,10,6,3,3,2,2,3,4,1,4,3,7,1,2,0,552,12,0,0,1,0,0,0,0,1.1871924121977677,115556.56063368192,0.0,45.64302475425594,True,99.97431577217063,0.9997431577217063,0.15442515243863789,16.77344412672895,0.43329677868130984,62640,64.35440124928084
12,10,6,3,3,2,2,3,4,1,3,4,7,1,2,0,552,13,0,0,1,0,0,0,0,1.2032295551493875,117117.55198002077,0.0,48.81897152355655,True,99.97842524862332,0.9997842524862333,0.16452054966642263,17.650716432796965,0.41986621469532703,55423,56.939878359497
13,10,6,3,3,2,2,3,4,1,3,4,7,1,2,0,552,14,0,0,1,0,0,0,0,1.2191074912000004,118663.04676344323,0.0,51.89439340095108,True,99.97637051039698,0.9997637051039697,0.1743059943704326,18.448672875080938,0.40779470645404925,48287,49.608572367880335
14,10,6,3,3,2,2,3,4,1,4,3,7,1,2,0,552,15,0,0,1,0,0,0,0,1.234831173705416,120193.52712379038,0.0,54.876273719741086,True,99.97226103394428,0.9997226103394428,0.18379399272271013,19.201191288080736,0.39686566266500156,41365,42.49712336648311
15,10,6,3,3,2,2,3,4,1,4,3,7,1,1,0,552,16,0,0,1,0,0,0,0,1.2504042850504484,121709.35148967046,0.0,57.77063020125226,True,99.97431577217063,0.9997431577217063,0.19298971970875128,19.914291463930503,0.3869084208710136,34814,35.766828306073805
16,10,6,3,3,2,2,3,4,1,4,3,7,1,0,0,552,18,0,0,1,0,0,0,0,1.2658250716698924,123210.34917606064,0.0,60.582681020702246,True,99.97637051039698,0.9997637051039697,0.20192891339059416,20.591938884581175,0.3777845917052338,28780,29.567683077175964
17,10,6,3,3,2,2,3,4,1,3,4,7,1,0,0,552,19,0,0,1,0,0,0,0,1.2810904763151192,124696.22260260844,0.0,63.31698412385874,True,99.97842524862332,0.9997842524862333,0.21065308779553701,21.237215981880837,0.36938455453289937,23562,24.206871044628915
18,10,7,3,3,2,2,3,4,1,2,5,7,1,0,0,552,20,0,0,1,0,0,0,0,1.2962061302466543,126167.51989368835,0.0,65.97755215262909,True,99.97431577217063,0.9997431577217063,0.2193285254407819,21.85197216713995,0.3616205584744246,19573,20.108695652173914
19,10,7,3,3,2,2,3,4,1,1,6,7,1,0,0,552,21,0,0,1,0,0,0,0,1.3111683509027965,127623.8826034746,0.0,68.56794635182987,True,99.97328840305745,0.9997328840305745,0.22796517614995937,22.43907130873542,0.35441846488783796,16429,16.878647160351772
20,9,7,3,3,2,2,3,4,1,1,6,7,1,0,0,552,22,0,0,2,0,0,0,0,1.3259819313771535,129065.77727252661,0.0,71.09135291366964,True,99.97226103394428,0.9997226103394428,0.23642580209668643,23.000927770558317,0.34771279919490705,14092,14.47768554286184
21,9,7,3,3,2,2,3,4,1,1,6,7,1,0,0,552,24,0,0,2,0,0,0,0,1.340651492461881,130493.65367026966,0.0,73.55064490719903,True,99.97226103394428,0.9997226103394428,0.24470795982762858,23.53959236778678,0.34145103450652486,12385,12.723966466672145
22,9,7,3,3,2,2,3,4,0,2,5,7,1,0,0,552,25,0,0,2,0,0,0,0,1.35517725649337,131907.53343803866,0.0,75.94843249898422,True,99.97637051039698,0.9997637051039697,0.25281797573940124,24.05684856306396,0.335587938248379,11180,11.485986685296293
23,9,8,3,3,2,3,3,4,0,3,4,7,1,0,0,552,28,0,0,2,0,0,0,0,1.369558552169743,133307.35123399412,0.0,78.28710372013674,True,99.97431577217063,0.9997431577217063,0.26078447522714915,24.554239830818933,0.33008475552850064,10581,10.870592586504479
24,9,8,3,3,2,2,3,4,0,3,4,7,1,0,0,552,29,0,0,2,0,0,0,0,1.3837897546572295,134692.55955931608,0.0,80.56885762485756,True,99.97637051039698,0.9997637051039697,0.26861061796454844,25.033118636048812,0.3249090191060655,10139,10.416495438481139
25,9,8,3,2,2,2,4,4,0,3,4,7,1,0,0,552,30,0,0,2,0,0,0,0,1.3978766246884158,136063.71914067163,0.0,82.79573133384598,True,99.98047998684967,0.9998047998684967,0.27630015556655907,25.4946761513664,0.3200308072723528,9909,10.180200542450892
26,9,8,3,1,2,2,4,4,0,3,4,7,1,0,0,552,31,0,0,2,0,0,0,0,1.4118232687420518,137421.22968627635,0.0,84.9696221634275,True,99.97842524862332,0.9997842524862333,0.28385276995301284,25.939969409493752,0.3154248781504506,9828,10.096983644283718
27,9,8,3,1,2,2,4,4,0,5,3,7,1,0,0,552,32,0,0,2,0,0,0,0,1.425636572198012,138765.7613914657,0.0,87.09230580253812,True,99.97226103394428,0.9997226103394428,0.29126011659780354,26.369941948672963,0.31106881974903194,9801,10.069244678227994
28,9,8,3,1,2,2,4,4,0,5,3,7,1,0,0,552,33,0,0,2,0,0,0,0,1.4393075158935946,140096.43636701893,0.0,89.16545130704363,True,99.9753431412838,0.999753431412838,0.2985492578121662,26.78544071467197,0.30694335788900473,9736,10.00246568587162
29,9,8,3,1,2,2,4,4,0,5,3,7,1,0,0,552,35,0,0,2,0,0,0,0,1.452839030042893,141413.53982825504,0.0,91.19063352642314,True,99.9753431412838,0.999753431412838,0.3057211435418219,27.187230746423822,0.3030300274702166,9734,10.000410947645271
30,9,8,3,1,2,2,4,4,0,5,3,7,1,0,0,552,36,0,0,2,0,0,0,0,1.466237995893276,142717.74156826793,0.0,93.16934345451307,True,99.97328840305745,0.9997328840305745,0.3127687393434457,27.576005700162185,0.29931333586925846,9734,10.000410947645271
31,9,8,3,1,2,2,4,4,0,3,5,7,1,0,0,552,37,0,0,2,0,0,0,0,1.4795025645594817,144008.8616239617,0.0,95.10299689772243,True,99.9712336648311,0.999712336648311,0.31969918949216813,27.95239761811818,0.29577918103344264,9734,10.000410947645271
32,9,8,3,1,2,2,4,4,0,5,3,7,1,0,0,552,39,0,0,2,0,0,0,0,1.4926363160554936,145287.24845957753,0.0,96.99294177587483,True,99.97637051039698,0.9997637051039697,0.3265171721618693,28.316985001894142,0.2924147670299563,9734,10.000410947645271
33,8,8,3,1,2,2,3,5,0,4,4,7,1,0,0,552,40,0,0,3,0,0,0,0,1.5056416224630664,146553.13296406504,0.0,98.8404643085226,True,99.9712336648311,0.999712336648311,0.33322574898491913,28.67029962819472,0.2892080907337281,9734,10.000410947645271
34,8,8,3,1,2,2,3,5,0,3,5,7,1,0,0,552,42,0,0,3,0,0,0,0,1.5185175532801403,147806.42456607573,0.0,100.64679428993954,True,99.97020629571793,0.9997020629571793,0.3398354264243963,29.012832346612758,0.2861492272620586,9734,10.000410947645271
35,8,8,3,1,2,2,3,5,0,4,4,7,1,0,0,552,44,0,0,3,0,0,0,0,1.5312619116379602,149046.9094311925,0.0,102.41310961641398,True,99.97328840305745,0.9997328840305745,0.3463537017009126,29.345038009025142,0.28322858261478834,9734,10.000410947645271
36,8,8,3,1,2,2,3,5,0,3,4,7,1,0,0,552,44,0,0,3,0,0,0,0,1.543881004171451,150275.20142203235,0.0,104.14054019785962,True,99.96917892660476,0.9996917892660475,0.35278180015996985,29.667339668434114,0.2804370112798403,9734,10.000410947645271
37,8,8,3,1,2,2,3,5,0,4,3,7,1,0,0,552,44,0,0,3,0,0,0,0,1.5563725029349738,151491.0739456786,0.0,105.8301713604908,True,99.97637051039698,0.9997637051039697,0.3591241823557554,29.98013216135309,0.27776715990904627,9734,10.000410947645271
38,8,8,3,1,2,2,3,5,0,2,5,7,1,0,0,552,46,0,0,3,0,0,0,0,1.5687431474331548,152695.18299855356,0.0,107.48304682707104,True,99.9712336648311,0.999712336648311,0.3653898334605988,30.283785172007025,0.27521108018967616,9734,10.000410947645271
39,8,8,3,1,2,2,3,5,0,3,4,7,1,0,0,552,48,0,0,3,0,0,0,0,1.5809958838659772,153887.81535197876,0.0,109.10017134500987,True,99.96815155749158,0.9996815155749158,0.3715781051048956,30.578645862434,0.2727622943259755,9734,10.000410947645271
40,8,8,3,1,2,2,3,5,0,3,4,7,0,0,0,552,50,0,0,3,0,0,0,0,1.5931280804325916,155068.71483698674,0.0,110.6825130195356,True,99.97226103394428,0.9997226103394428,0.37769338761651056,30.865041134390907,0.27041477665982006,9734,10.000410947645271
41,8,8,3,1,2,2,3,5,0,1,6,7,0,0,0,552,51,0,0,3,0,0,0,0,1.6051387232880692,156237.7827699675,0.0,112.23100539866923,True,99.97328840305745,0.9997328840305745,0.38373913483842154,31.14327958248788,0.2681626109678453,9734,10.000410947645271
42,8,8,3,1,2,2,3,5,0,0,7,7,0,0,0,552,52,0,0,3,0,0,0,0,1.6170264660840907,157394.88810276106,0.0,113.74654934825185,True,99.9712336648311,0.999712336648311,0.38971915990474926,31.4136531860996,0.2660003526422478,9734,10.000410947645271
43,8,8,3,1,2,2,3,5,0,0,7,7,0,0,0,552,54,0,0,3,0,0,0,0,1.628801591931217,158541.03175221695,0.0,115.23001474843127,True,99.9712336648311,0.999712336648311,0.3956042009915545,31.67643878025106,0.2639230554942967,9734,10.000410947645271
44,7,8,3,1,2,2,3,5,0,0,7,7,0,0,0,552,56,0,0,4,0,0,0,0,1.6404650645466026,159676.3075227081,0.0,116.6822420374699,True,99.97020629571793,0.9997020629571793,0.4013981311124876,31.931899339319628,0.26192605113534884,9734,10.000410947645271
45,7,9,3,1,2,2,3,5,0,0,7,7,0,0,0,552,57,0,0,4,0,0,0,0,1.6520111193384042,160800.1543119229,0.0,118.1040436242367,True,99.9712336648311,0.999712336648311,0.407116337635232,32.18028510191018,0.2600052131265471,9734,10.000410947645271
46,7,9,3,1,2,2,3,5,0,1,5,7,0,0,0,552,58,0,0,4,0,0,0,0,1.6634357041244283,161912.17769665536,0.0,119.4962051870895,True,99.97431577217063,0.9997431577217063,0.4127605401984293,32.42183456064147,0.25815665778213504,9734,10.000410947645271
47,7,9,3,1,2,2,3,5,0,1,5,7,0,0,0,552,58,0,0,4,0,0,0,0,1.6747500558380628,163013.47143505368,0.0,120.85948687387396,True,99.9712336648311,0.999712336648311,0.4183149600595516,32.65677533669638,0.25637641750603324,9734,10.000410947645271
48,7,9,3,1,2,2,3,6,0,0,6,7,0,0,0,552,59,0,0,4,0,0,0,0,1.6859558489829276,164104.19851660225,0.0,122.19462441533221,True,99.9712336648311,0.999712336648311,0.4237773844996222,32.885324955776404,0.25466115632355457,9734,10.000410947645271
49,7,8,3,1,2,2,3,6,0,1,5,7,0,0,0,552,60,0,0,4,0,0,0,0,1.6970483638230835,165183.89954108367,0.0,123.50233016222394,True,99.9712336648311,0.999712336648311,0.42916189549361505,33.10769153942952,0.2530076959539508,9734,10.000410947645271
50,7,8,3,1,2,2,3,6,0,1,5,7,0,0,0,552,61,0,0,4,0,0,0,0,1.7080364413420854,166253.43505447323,0.0,124.7832940548292,True,99.96917892660476,0.9996917892660475,0.4344471523893507,33.32407442350638,0.2514128465836153,9734,10.000410947645271
51,7,8,3,1,2,2,3,7,0,1,5,7,0,0,0,552,62,0,0,4,0,0,0,0,1.7189105683094488,167311.8790769685,0.0,126.03818453216013,True,99.97226103394428,0.9997226103394428,0.4396635771215607,33.534664713661776,0.24987409710350145,9734,10.000410947645271
52,7,8,3,1,2,2,3,7,0,1,5,7,0,0,0,552,64,0,0,4,0,0,0,0,1.7296763752317674,168359.7796595593,0.0,127.26764938710248,True,99.96917892660476,0.9996917892660475,0.44479980563373595,33.739645786290055,0.24838862773733242,9734,10.000410947645271
53,7,8,3,0,2,2,4,7,0,2,4,7,0,0,0,552,66,0,0,4,0,0,0,0,1.7403395738113523,169397.69275650178,0.0,128.47231657279332,True,99.96815155749158,0.9996815155749158,0.44984725317684193,33.939193742009806,0.2469539205689652,9734,10.000410947645271
54,7,8,3,0,2,2,4,7,0,2,4,7,0,0,0,552,67,0,0,4,0,0,0,0,1.7508909469461418,170424.72121194965,0.0,129.65279496478453,True,99.97020629571793,0.9997020629571793,0.45483278251337056,34.13347781774895,0.24556784753945632,9734,10.000410947645271
55,7,8,3,0,2,2,4,7,0,2,4,7,0,0,0,552,68,0,0,4,0,0,0,0,1.7613307089354004,171440.88588493614,0.0,130.80967508291178,True,99.97226103394428,0.9997226103394428,0.45975404995041097,34.3226607625896,0.2442281397158932,9734,10.000410947645271
56,7,8,3,0,2,2,4,7,0,2,4,7,0,0,0,552,69,0,0,4,0,0,0,0,1.7716674875761371,172447.02657071088,0.0,131.94352977626465,True,99.97431577217063,0.9997431577217063,0.46459207108319645,34.506899181782686,0.24293265458516725,9734,10.000410947645271
57,7,8,3,0,2,2,4,7,0,2,4,7,0,0,0,552,71,0,0,4,0,0,0,0,1.7819135188344832,173444.33426927327,0.0,133.05491487421537,True,99.96609681926523,0.9996609681926523,0.46932551280776263,34.68634385271139,0.2416791866933479,9734,10.000410947645271
58,6,8,3,0,2,2,4,7,0,2,4,7,0,0,0,552,72,0,0,5,0,0,0,0,1.7920570964628568,174431.66954130863,0.0,134.1443698060957,True,99.96917892660476,0.9996917892660475,0.47399590554617,34.86114001604867,0.24046627242145588,9734,10.000410947645271
59,6,8,3,0,2,2,4,7,0,2,4,7,0,0,0,552,72,0,0,5,0,0,0,0,1.802101633809919,175409.36462852228,0.0,135.22926828636827,True,99.96815155749158,0.9996815155749158,0.4785934188925039,35.031427644903694,0.2392920699220435,9734,10.000410947645271
60,6,8,3,0,2,2,4,7,0,2,4,7,0,0,0,552,73,0,0,5,0,0,0,0,1.812038711156965,176376.59998917434,0.0,136.33443815703419,True,99.97328840305745,0.9997328840305745,0.4831385858850506,35.197341694368355,0.2381550975054518,9734,10.000410947645271
61,6,11,3,0,2,2,4,7,0,3,3,7,0,0,0,552,75,0,0,5,0,0,0,0,1.8218797267528177,177334.48508321226,0.0,137.4175736587745,True,99.97020629571793,0.9997020629571793,0.48760452741545407,35.359012333550304,0.23705358049937958,9734,10.000410947645271
62,6,11,3,0,2,2,4,7,0,3,3,7,0,0,0,552,77,0,0,5,0,0,0,0,1.831606497513261,178281.25004195079,0.0,138.4792041034671,True,99.96917892660476,0.9996917892660475,0.49204768364747536,35.51656516190196,0.2359864112155207,9734,10.000410947645271
63,6,11,3,0,2,2,4,7,0,3,3,7,0,0,0,552,79,0,0,5,0,0,0,0,1.841240478193871,179218.98318547863,0.0,139.51984372969866,True,99.96917892660476,0.9996917892660475,0.49639708139188793,35.670121411418556,0.234951824446384,9734,10.000410947645271
64,6,11,3,0,2,2,4,7,0,3,3,7,0,0,0,552,78,0,0,5,0,0,0,0,1.8507747855920944,180147.0145303921,0.0,140.53999217249375,True,99.96815155749158,0.9996815155749158,0.5006875416114387,35.81979813607697,0.23394863221970186,9734,10.000410947645271
65,6,11,3,0,2,2,4,7,0,2,4,7,0,0,0,552,80,0,0,5,0,0,0,0,1.8602097815457432,181065.37929653647,0.0,141.54013492052437,True,99.96609681926523,0.9996609681926523,0.504918778775447,35.96570838971416,0.2329755748475855,9734,10.000410947645271
66,6,11,3,0,2,2,4,7,0,1,5,7,0,0,0,552,81,0,0,5,0,0,0,0,1.8695708056653098,181976.5439402386,0.0,142.52074376064982,True,99.96095997369935,0.9996095997369935,0.509035243261736,36.10796139339654,0.23203111526283024,9734,10.000410947645271
67,6,11,3,0,2,2,4,7,0,0,6,7,0,0,0,552,81,0,0,5,0,0,0,0,1.8788365180924835,182878.43132504998,0.0,143.4822772097271,True,99.96095997369935,0.9996095997369935,0.5131065199593534,36.24666269320409,0.23111458700855045,9734,10.000410947645271
68,6,11,3,0,2,2,4,6,0,0,6,7,0,0,0,552,83,0,0,5,0,0,0,0,1.8880154970262877,183771.87641855073,0.0,144.425180933705,True,99.96198734281253,0.9996198734281253,0.5171015528251229,36.38191430924402,0.2302247230868279,9734,10.000410947645271
