step,tumor_cells,cytotoxic_t_cells,cd8_naive,cd4_naive,th1,th2,treg,dendritic,pdc,m1,m2,nk,mast,neutrophil,adipocyte,blood,sex_hormone,apoptosis_count,m1_kills,dc_kills,pdc_kills,ctc_kills,nkl_kills,neutrophil_kills,mean_glucose,total_glucose,min_glucose,max_glucose,glucose_presence_confirmed,glucose_coverage_percent,glucose_detection_confidence,glucose_gradient_mean_magnitude,glucose_gradient_max_magnitude,glucose_gradient_uniformity,glucose_hotspots_count,glucose_hotspots_coverage
0,11,4,4,4,2,2,4,4,2,2,4,8,2,2,0,552,0,0,0,0,0,0,0,0,1.0,97336.0,1.0,1.0,True,100.0,1.0,0.0,0.0,1.0,97336,100.0
1,11,4,4,4,2,2,4,4,2,2,4,8,2,2,0,552,1,0,0,0,0,0,0,0,1.0177955740938605,99068.15000000001,0.0,5.9399999999999995,True,99.98869893975507,0.9998869893975507,0.020408195697297207,2.9821636440678434,0.831067438884439,97293,99.95582312813347
2,11,4,4,4,2,2,4,4,2,2,4,8,2,2,0,552,2,0,0,0,0,0,0,0,1.03548680981343,100790.14412000001,0.0,10.73259,True,99.98869893975507,0.9998869893975507,0.038404492279373835,5.2669036989914675,0.7294922154351778,97073,99.72980192323499
3,11,4,4,4,2,2,4,4,2,2,4,8,2,2,0,552,2,0,0,0,0,0,0,0,1.0530068988253063,102495.47950406001,0.0,15.33170925,True,99.98869893975507,0.9998869893975507,0.054800152524416,7.082033622526777,0.6595956050521032,96476,99.11646256266951
4,11,4,4,3,2,2,4,4,2,2,3,8,2,2,0,552,3,0,0,0,0,0,0,0,1.070360403976105,104184.60028141816,0.0,19.72441777383,True,99.98767157064191,0.9998767157064191,0.06993152350085206,8.70941707692172,0.6077622581466915,95274,97.88156488863319
5,11,4,3,3,2,2,3,4,2,2,3,8,2,2,0,552,4,0,0,0,0,0,0,0,1.0875482844858142,105857.59981871121,0.0,23.915715260158258,True,99.98767157064191,0.9998767157064191,0.08402898299328657,10.156578366436529,0.5673960244985237,93293,95.84634667543355
6,11,4,3,3,2,2,3,4,2,2,3,8,2,2,0,552,7,0,0,0,0,0,0,0,1.1045671696466306,107514.15002472443,0.0,27.918774926803334,True,99.9712336648311,0.999712336648311,0.09727509613837412,11.468620747170785,0.5348419292132378,90401,92.8751952001315
7,11,5,3,3,2,2,3,4,2,2,3,7,2,2,0,552,10,0,0,0,0,0,0,0,1.1214266603221996,109155.18540912162,0.0,31.749462834228687,True,99.97328840305745,0.9997328840305745,0.10976464255615824,12.693162834589536,0.5078923710794222,86471,88.83763458535383
8,11,5,3,3,2,2,3,4,2,3,2,7,2,2,0,552,12,0,0,0,0,0,0,0,1.1381157342268973,110779.63310670928,0.0,35.42357632101625,True,99.97226103394428,0.9997226103394428,0.12164521566662488,13.835307128928118,0.4851067972722765,81434,83.66277636229145
9,11,5,3,3,2,2,3,4,2,2,3,7,2,2,0,552,12,0,0,0,0,0,0,0,1.1546409382691447,112388.13036736548,0.0,38.95562378837006,True,99.9712336648311,0.999712336648311,0.13299074544200465,14.889072214939073,0.46551450494341096,75371,77.43383742911153
