step,tumor_cells,cytotoxic_t_cells,cd8_naive,cd4_naive,th1,th2,treg,dendritic,pdc,m1,m2,nk,mast,neutrophil,adipocyte,blood,sex_hormone,apoptosis_count,m1_kills,dc_kills,pdc_kills,ctc_kills,nkl_kills,neutrophil_kills,mean_glucose,total_glucose,min_glucose,max_glucose,glucose_presence_confirmed,glucose_coverage_percent,glucose_detection_confidence,glucose_gradient_mean_magnitude,glucose_gradient_max_magnitude,glucose_gradient_uniformity,glucose_hotspots_count,glucose_hotspots_coverage
0,11,4,4,4,2,2,4,4,2,2,4,8,2,2,0,552,0,0,0,0,0,0,0,0,1.0,97336.0,1.0,1.0,True,100.0,1.0,0.0,0.0,1.0,97336,100.0
1,11,4,4,4,2,2,4,4,2,3,3,8,2,2,0,552,1,0,0,0,0,0,0,0,1.0177955740938607,99068.15000000002,0.0,5.9399999999999995,True,99.98869893975507,0.9998869893975507,0.020419527531303393,2.8001428534987283,0.8311049501816453,97293,99.95582312813347
2,11,4,4,4,2,2,4,4,2,3,3,8,2,2,0,552,2,0,0,0,0,0,0,0,1.03548680981343,100790.14412000001,0.0,10.73259,True,99.98869893975507,0.9998869893975507,0.03845345537313107,5.087159529093815,0.7294973826728404,97068,99.7246650776691
3,11,4,4,4,2,2,4,4,1,2,4,8,2,2,0,552,3,0,0,0,0,0,0,0,1.053012035670872,102495.97950406,0.0,15.33170925,True,99.98869893975507,0.9998869893975507,0.05486052921859791,7.011684061607079,0.6595893004591753,96435,99.07434042902933
4,11,4,4,4,3,2,4,4,1,2,4,8,2,2,0,552,4,0,0,0,0,0,0,0,1.0703654894532153,104185.09528141817,0.0,19.72441777383,True,99.98767157064191,0.9998767157064191,0.07002020449495122,8.672435525840584,0.6077429456801915,95174,97.77882797731569
5,11,4,4,4,3,2,4,4,1,3,3,8,2,2,0,552,5,0,0,0,0,0,0,0,1.0875472258188652,105857.49677230506,0.0,23.915715260158258,True,99.98869893975507,0.9998869893975507,0.08414662181927293,10.134445983101788,0.5673633480471942,93085,95.63265389989314
6,11,4,5,4,2,2,4,4,1,3,3,8,2,2,0,552,7,0,0,0,0,0,0,0,1.1045546797066552,107512.93430392699,0.0,27.918774926803334,True,99.9712336648311,0.999712336648311,0.09742960299696163,11.441586048889723,0.5347974351616753,90030,92.49404125914359
7,11,4,5,4,2,2,4,4,1,4,2,8,2,2,0,552,8,0,0,0,0,0,0,0,1.121398558103389,109152.45005155147,0.0,31.749462834228687,True,99.9712336648311,0.999712336648311,0.10995383392937745,12.654934350918008,0.50783965897831,85993,88.34655214925618
8,11,4,5,4,2,2,4,4,1,4,1,8,2,2,0,552,9,0,0,0,0,0,0,0,1.1380802810094928,110776.18223233998,0.0,35.42357632101625,True,99.9753431412838,0.999753431412838,0.12182239774750632,14.033907460946052,0.4850524850047056,81003,83.21998027451303
9,11,4,5,4,2,2,3,4,1,3,2,8,2,2,0,552,10,0,0,0,0,0,0,0,1.1545971723416337,112383.87036704525,0.0,38.95562378837006,True,99.97637051039698,0.9997637051039697,0.1331789137504656,15.19013702183658,0.4654587063517612,75131,77.18726884194953
10,11,5,5,3,2,2,4,4,1,2,3,8,2,2,0,552,12,0,0,0,0,0,0,0,1.1709501407563054,113975.60290065574,0.0,42.358411983660474,True,99.97739787951015,0.9997739787951015,0.1440613990794335,16.220535193788454,0.4483748021899787,68533,70.408687433221
11,11,5,4,3,2,2,4,4,1,2,3,7,2,2,0,552,13,0,0,0,0,0,0,0,1.187145195825447,115551.96478086572,0.0,45.64302475425594,True,99.97739787951015,0.9997739787951015,0.15451516559648454,17.162378522821975,0.4333030217842555,61400,63.08046354894387
12,11,5,4,3,2,2,4,4,1,2,3,7,2,2,0,552,15,0,0,0,0,0,0,0,1.2031788567304669,117112.61719871672,0.0,48.81897152355655,True,99.97739787951015,0.9997739787951015,0.16460674363222855,17.704511010678285,0.419879168063729,54215,55.69881647078162
13,11,4,4,3,2,2,4,4,1,2,3,7,2,2,0,552,17,0,0,0,0,0,0,0,1.2190530125318435,118657.74402779952,0.0,51.89439340095108,True,99.97842524862332,0.9997842524862333,0.17437139227737136,18.46177643239742,0.40781205983443,47255,48.54832744308375
14,11,4,5,3,2,2,2,4,1,2,3,7,2,2,0,552,18,0,0,0,0,0,0,0,1.234771562838884,120187.7248404856,0.0,54.876273719741086,True,99.97431577217063,0.9997431577217063,0.18384771075833195,19.198534286921795,0.3968849887274174,40982,42.103640996137095
15,11,4,5,2,2,2,3,4,1,2,3,7,2,2,0,552,19,0,0,0,0,0,0,0,1.250334951973589,121702.60288530124,0.0,57.77063020125226,True,99.97328840305745,0.9997328840305745,0.1930505488922664,19.899692445904808,0.3869287128453421,35376,36.34420974767815
16,11,4,5,2,2,2,3,4,1,2,3,7,2,0,0,552,20,0,0,0,0,0,0,0,1.2657542021935553,123203.45102471189,0.0,60.582681020702246,True,99.97328840305745,0.9997328840305745,0.2019867409820431,20.576737749725993,0.37780625006498963,30468,31.301882140215337
17,11,4,5,1,2,2,4,4,1,2,3,7,2,0,0,552,21,0,0,0,0,0,0,0,1.281020242621863,124689.38633584167,0.0,63.31698412385874,True,99.97431577217063,0.9997431577217063,0.21070289898722638,21.22054026288507,0.36940747317001593,26180,26.896523382921018
18,11,4,5,1,2,2,4,4,1,2,3,7,2,0,0,552,22,0,0,0,0,0,0,0,1.2961354715180933,126160.64225568512,0.0,65.97755215262909,True,99.97226103394428,0.9997226103394428,0.2193682479164084,21.834307949091556,0.36164497842828075,22578,23.19593983726473
