step,tumor_cells,cytotoxic_t_cells,cd8_naive,cd4_naive,th1,th2,treg,dendritic,pdc,m1,m2,nk,mast,neutrophil,adipocyte,blood,sex_hormone,apoptosis_count,m1_kills,dc_kills,pdc_kills,ctc_kills,nkl_kills,neutrophil_kills,mean_glucose,total_glucose,min_glucose,max_glucose,glucose_presence_confirmed,glucose_coverage_percent,glucose_detection_confidence,glucose_gradient_mean_magnitude,glucose_gradient_max_magnitude,glucose_gradient_uniformity,glucose_hotspots_count,glucose_hotspots_coverage
0,11,4,4,4,2,2,4,4,2,2,4,8,2,2,0,552,0,0,0,0,0,0,0,0,1.0,97336.0,1.0,1.0,True,100.0,1.0,0.0,0.0,1.0,97336,100.0
1,11,4,4,4,2,2,4,4,2,2,4,8,2,2,0,552,2,0,0,0,0,0,0,0,1.0177955740938605,99068.15000000001,0.0,5.9399999999999995,True,99.98869893975507,0.9998869893975507,0.020419527531303393,2.8001428534987283,0.8311049501816453,97293,99.95582312813347
2,11,4,4,4,2,2,4,4,2,4,2,8,2,2,0,552,3,0,0,0,0,0,0,0,1.03548680981343,100790.14412000001,0.0,10.73259,True,99.98869893975507,0.9998869893975507,0.03844605391741792,5.087159529093815,0.7295006775524782,97070,99.72671981589546
3,11,4,4,4,2,2,4,4,2,4,2,8,2,2,0,552,4,0,0,0,0,0,0,0,1.0530068988253065,102495.47950406003,0.0,15.33170925,True,99.98869893975507,0.9998869893975507,0.05487929299547627,7.011684061607079,0.6595844484632954,96452,99.09180570395331
4,11,4,4,4,2,2,4,4,2,4,3,8,2,2,0,552,5,0,0,0,0,0,0,0,1.0703562060557212,104184.19167263967,0.0,19.72441777383,True,99.98458946330237,0.9998458946330238,0.07004168835767718,8.672435525840584,0.6077452178203396,95222,97.8281416947481
5,11,4,4,4,2,2,4,4,2,4,3,8,2,2,0,552,7,0,0,0,0,0,0,0,1.087529674451659,105855.78839242668,0.0,23.915715260158258,True,99.98664420152873,0.9998664420152873,0.0841804885711363,10.134445983101788,0.5673692999542704,93201,95.75182871702145
6,11,4,3,4,2,2,4,4,2,4,3,8,2,2,0,552,8,0,0,0,0,0,0,0,1.1045393519458517,107511.44236100143,0.0,27.918774926803334,True,99.97328840305745,0.9997328840305745,0.09745269080436161,11.441602860152852,0.5348087427981271,90271,92.74163721541876
7,11,4,3,4,2,2,4,4,2,4,3,8,2,2,0,552,10,0,0,0,0,0,0,0,1.1213846500441103,109151.09629669352,0.0,31.749462834228687,True,99.97328840305745,0.9997328840305745,0.10997929513939456,12.652276515010943,0.507851849446868,86398,88.76263664009205
8,10,4,3,4,2,2,4,6,2,4,3,6,2,2,0,552,12,0,0,1,0,0,0,0,1.1380765888863529,110775.82285584205,0.0,35.42357632101625,True,99.9753431412838,0.999753431412838,0.12184433042920641,13.801323087641785,0.4850648159825016,81646,83.88057861428454
9,10,4,3,4,2,2,4,6,2,4,3,6,2,2,0,552,14,0,0,1,0,0,0,0,1.1545973072158418,112383.88349516118,0.0,38.95562378837006,True,99.97739787951015,0.9997739787951015,0.13318809595053385,14.860976442719231,0.4654609220944681,76023,78.10368209090161
10,10,4,4,4,2,2,4,6,2,4,3,6,2,2,0,552,15,0,0,1,0,0,0,0,1.1709479210532028,113975.38684363454,0.0,42.358411983660474,True,99.97842524862332,0.9997842524862333,0.14408375933423476,15.843215622210545,0.44837004845664713,69615,71.52030081367634
11,10,4,4,3,2,2,4,6,2,4,3,6,2,2,0,552,16,0,0,1,0,0,0,0,1.187134720674367,115550.94517156019,0.0,45.64302475425594,True,99.98047998684967,0.9998047998684967,0.15454001417047344,16.758001132652883,0.4333108578597284,62580,64.29275910249034
12,10,4,4,3,2,2,4,6,2,4,3,6,2,2,0,552,17,0,0,1,0,0,0,0,1.203161150008241,117110.89369720216,0.0,48.81897152355655,True,99.9753431412838,0.999753431412838,0.1646444639606835,17.61366698865286,0.41988798411578143,55218,56.72926769129612
13,10,4,5,3,2,2,4,6,2,4,3,6,2,2,0,552,19,0,0,1,0,0,0,0,1.2190248067272496,118654.99858760356,0.0,51.89439340095108,True,99.97431577217063,0.9997431577217063,0.17442368782342957,18.417219015254176,0.40782343265039017,47942,49.25413002383496
14,10,4,5,3,2,2,4,5,2,5,2,6,2,2,0,552,20,0,0,1,0,0,0,0,1.23472998910432,120183.67821945809,0.0,54.876273719741086,True,99.97842524862332,0.9997842524862333,0.18391833217780476,19.17456951498661,0.39689449536822785,41069,42.193022108983314
15,10,4,6,3,2,2,4,5,2,4,3,6,2,2,0,552,20,0,0,1,0,0,0,0,1.2502749545787928,121696.76297888136,0.0,57.77063020125226,True,99.97739787951015,0.9997739787951015,0.19316099124311154,19.890726069912525,0.38693408654732464,34804,35.756554614942054
16,10,4,6,3,2,2,4,6,2,5,2,6,2,0,0,552,22,0,0,1,0,0,0,0,1.2656766478245718,123195.90219265252,0.0,60.582681020702246,True,99.97431577217063,0.9997431577217063,0.20212180565857177,20.56994528290071,0.3778076712256687,29259,30.05979288238678
17,10,4,6,3,2,3,4,6,2,4,3,6,2,0,0,552,23,0,0,1,0,0,0,0,1.280921381031724,124679.76354410387,0.0,63.31698412385874,True,99.97431577217063,0.9997431577217063,0.21086025737664596,21.215849814896377,0.36940666172038,24503,25.173625380126573
18,9,4,6,3,2,3,4,6,2,3,4,6,2,0,0,552,24,0,0,2,0,0,0,0,1.296014035572223,126148.8221664579,0.0,65.97755215262909,True,99.97637051039698,0.9997637051039697,0.21953960874628076,21.831565687474352,0.36164130740761047,20635,21.19976165036574
19,9,5,6,3,2,3,4,6,2,4,3,6,2,0,0,552,25,0,0,2,0,0,0,0,1.3109628940694624,127603.8842571452,0.0,68.56794635182987,True,99.97431577217063,0.9997431577217063,0.22815304941511363,22.41977971459305,0.35443699627356684,17475,17.9532752527328
20,9,5,5,3,2,3,4,7,2,5,2,6,2,0,0,552,26,0,0,2,0,0,0,0,1.325769824213468,129045.13160964212,0.0,71.09135291366964,True,99.97431577217063,0.9997431577217063,0.2365480339074634,22.982780151669132,0.3477286451138339,15041,15.452658831264895
21,9,4,5,3,2,3,4,7,2,5,2,6,2,0,0,552,27,0,0,2,0,0,0,0,1.340423361640865,130471.44832867522,0.0,73.55064490719903,True,99.9794526177365,0.999794526177365,0.24479498234742214,23.52257008174578,0.3414631643457641,13126,13.485246979534807
22,9,4,5,2,2,3,4,7,2,6,1,6,2,0,0,552,28,0,0,2,0,0,0,0,1.3549303481623771,131883.50036873313,0.0,75.94843249898422,True,99.98150735596285,0.9998150735596285,0.25287430756569895,24.040896349134897,0.33559471235589133,11672,11.991452288978383
23,9,4,5,2,2,4,4,7,2,5,2,5,2,0,0,552,29,0,0,2,0,0,0,0,1.3693016259561737,133282.34306407013,0.0,78.28710372013674,True,99.97431577217063,0.9997431577217063,0.26081043302090157,24.544216566220523,0.3300869275950987,10753,11.047300073970575
24,9,4,5,2,2,4,4,7,2,6,1,4,2,0,0,552,29,0,0,2,0,0,0,0,1.3835383506948806,134668.0889032369,0.0,80.56885762485756,True,99.9753431412838,0.999753431412838,0.2685763855156093,25.040705596483836,0.3249077885473419,9827,10.095956275170543
